Party ID	Excel Name	Ballot Symbol	Party Name	Knesset #	Bloc
0		מחל	Likud	12	Right
1		אמת	Alignment	12	Left
2		שס	Shas	12	Orthodox
3		ג	Agudat Yisrael	12	Orthodox
4		רצ	Ratz	12	Left
5		ב	National Religious Party	12	Orthodox
6		ו	Hadash	12	Arab-Israeli
7		ת	Tehiya	12	Right
8		מפם	Mapam	12	Left
9		ץ	Tzomet	12	Right
10		ט	Moledet	12	Right
11		הן	Shinui	12	Secular Centre
12		עץ	Degel HaTorah	12	Orthodox
13		פ	Progressive List for Peace	12	Arab-Israeli
14		ע	Arab Democratic Party	12	Arab-Israeli
15		קמע	Pensioners	12	Micro
16		מי	Meimad	12	Micro
17		טע	Derekh Aretz	12	Micro
18		ענף	Or Movement	12	Micro
19		קז	Movement for Social Justice	12	Micro
20		טיף	Yishai – Tribal Israel Together	12	Micro
21		מעש	Movement for Moshavim	12	Micro
22		זעמ	Tarshish	12	Micro
23		ז	Silent Power	12	Micro
24		קם	Movement for Demobilised Soldiers	12	Micro
25		יענ	Yemenite Association	12	Micro
26		זכ	Unity	12	Micro
27	Alignment	אמת	Labour Party	13	Left
28	National Religious Party (N.R.P.)	ב	National Religious Party	13	Orthodox
29	Agudat Yisrael	ג	Agudat Yisrael	13	Orthodox
30	Da	ד	Da	13	Micro
31	Daf	דף	Pikanti	13	Micro
32	Vav	ו	Hadash	13	Arab-Israeli
33	Zeh	זה	Tzipor	13	Micro
34	Homeland Movement	ט	Moledet	13	Right
35	Yad	יד	Hatikva	13	Micro
36	Yaz	יז	Torah VeAretz	13	Micro
37	Yam	ים	Natural Law Party	13	Micro
38	Ki	כי	Tali	13	Micro
39	Likud	מחל	Likud	13	Right
40	Citizen's Rights Movement (Ratz)	מרצ	Meretz	13	Left
41	Nun	נ	On Wheels	13	Micro
42	Nun Dalet	נד	Movement for Mortgage Affected, Homeless and Demobilised Soldiers	13	Micro
43	Nun Kafh	נכ	Women's Party	13	Micro
44	Ayin	ע	Arab Democratic Party	13	Arab-Israeli
45	Peh	פ	Progressive List for Peace	13	Micro
46	Tzomet	ץ	Tzomet	13	Right
47	Kofh	ק	Pensioners, Immigrants and Senior Citizens	13	Micro
48	Kal	קל	Geulat Yisrael	13	Micro
49	Kan	קן	New Liberal Party	13	Micro
50	Shas - Sepharadic Orthodox Party	שס	Shas	13	Orthodox
51	Tehiya	ת	Tehiya	13	Right
52	אמת	אמת	Labour Party	14	Left
53	ב	ב	National Religious Party	14	Orthodox
54	ג	ג	United Torah Judaism	14	Orthodox
55	ד	ד	Da'am Workers Party	14	Micro
56	דן	דן	Settlement Party	14	Micro
57	הד	הד	The Third Way	14	Secular Centre
58	ו	ו	Hadash–Balad	14	Arab-Israeli
59	ז	ז	Man's Rights in the Family Party	14	Micro
60	ט	ט	Moledet	14	Right
61	יד	יד	Yamin Yisrael	14	Micro
62	כן	כן	Yisrael BaAliyah	14	Sectoral
63	מחל	מחל	Likud	14	Right
64	מרץ	מרץ	Meretz	14	Left
65	נ	נ	Ta'al	14	Micro
66	ע	ע	Ra'am–Mada	14	Arab-Israeli
67	פ	פ	Gil	14	Micro
68	פא	פא	Progressive Confederation	14	Micro
69	ק	ק	Unity for the Defence of New Immigrants	14	Micro
70	שס	שס	Shas	14	Orthodox
71	ת	ת	Telem Emuna	14	Micro
72	אמת	אמת	One Israel	15	Left
73	ב	ב	National Religious Party	15	Orthodox
74	ג	ג	United Torah Judaism	15	Orthodox
75	ד	ד	Balad	15	Arab-Israeli
76	הד	הד	The Third Way	15	Micro
77	ו	ו	Hadash	15	Arab-Israeli
78	ז	ז	Justice for All	15	Micro
79	זך	זך	Moreshet Avot	15	Micro
80	יט	יט	National Union	15	Right
81	ים	ים	Lev LaOlim	15	Micro
82	יש	יש	Shinui	15	Secular Centre
83	כן	כן	Yisrael BaAliyah	15	Sectoral
84	ל	ל	Yisrael Beiteinu	15	Right
85	ם	ם	One Nation	15	Left
86	מחל	מחל	Likud	15	Right
87	מרצ	מרצ	Meretz-Yachad and the Democratic Choice	15	Left
88	נ	נ	Progressive Center Party	15	Micro
89	נץ	נץ	Negev Party	15	Micro
90	עם	עם	United Arab List	15	Arab-Israeli
91	פ	פ	Pnina Rosenblum	15	Secular Centre
92	פה	פה	Centre Party	15	Secular Centre
93	פז	פז	Power for Pensioners	15	Sectoral
94	ץ	ץ	Tzomet	15	Micro
95	קז	קז	Casino Party	15	Micro
96	קם	קם	Da'am Workers Party	15	Micro
97	קנ	קנ	Ale Yarok	15	Sectoral
98	קפ	קפ	New Arab Party	15	Micro
99	קץ	קץ	Tikva	15	Micro
100	רם	רם	Natural Law Party	15	Micro
101	רק	רק	Green Party	15	Micro
102	שס	שס	Shas	15	Orthodox
103	אמת	אמת	Labour–Meimad	16	Left
104	ב	ב	National Religious Party	16	Orthodox
105	ג	ג	United Torah Judaism	16	Orthodox
106	ד	ד	Balad	16	Arab-Israeli
107	ו	ו	Hadash–Ta'al	16	Arab-Israeli
108	ז	ז	Za'am	16	Micro
109	זנ	זנ	Ahavat Yisrael	16	Micro
110	ט	ט	Man's Rights in the Family Party	16	Micro
111	יש	יש	Shinui	16	Secular Centre
112	כן	כן	Yisrael BaAliyah	16	Sectoral
113	ל	ל	National Union	16	Right
114	ם	ם	One Nation	16	Left
115	מחל	מחל	Likud	16	Right
116	מרצ	מרצ	Meretz-Yachad and the Democratic Choice	16	Left
117	נ	נ	Yisrael Aheret	16	Micro
118	נץ	נץ	Herut – The National Movement	16	Right
119	עם	עם	United Arab List	16	Arab-Israeli
120	ף	ף	Leader	16	Micro
121	פה	פה	Centre Party	16	Micro
122	צ	צ	Tzomet	16	Micro
123	צף	צף	Progressive National Alliance	16	Micro
124	ק	ק	Da'am Workers Party	16	Micro
125	קך	קך	Citizen and State	16	Micro
126	קנ	קנ	Ale Yarok	16	Sectoral
127	קץ	קץ	Lahava	16	Micro
128	רק	רק	The Greens	16	Micro
129	שס	שס	Shas	16	Orthodox
130	אמת	אמת	Labour–Meimad	17	Left
131	ג	ג	United Torah Judaism	17	Orthodox
132	ד	ד	Balad	17	Arab-Israeli
133	ה	ה	Brit Olam	17	Micro
134	ו	ו	Hadash	17	Arab-Israeli
135	ז	ז	Lehem	17	Micro
136	זה	זה	Atid Ehad	17	Micro
137	זך	זך	Gil	17	Sectoral
138	חץ	חץ	Hetz	17	Micro
139	טב	טב	National Union–National Religious Party	17	Right
140	יש	יש	Shinui	17	Micro
141	כ	כ	Jewish National Front	17	Micro
142	כן	כן	Kadima	17	Secular Centre
143	כץ	כץ	Tzomet	17	Micro
144	ל	ל	Yisrael Beiteinu	17	Right
145	מחל	מחל	Likud	17	Right
146	מרצ	מרצ	Meretz-Yachad	17	Left
147	נץ	נץ	Herut – The National Movement	17	Micro
148	עם	עם	United Arab List–Ta'al	17	Arab-Israeli
149	פ	פ	Tafnit	17	Micro
150	פז	פז	Lev	17	Micro
151	פכ	פכ	Oz LaAniyim	17	Micro
152	פץ	פץ	HaLev	17	Micro
153	ף	ף	Leader	17	Micro
154	צה	צה	The New Zionism	17	Micro
155	ק	ק	Da'am Workers Party	17	Micro
156	קז	קז	Justice for All	17	Micro
157	קנ	קנ	Ale Yarok	17	Sectoral
158	קפ	קפ	Arab National Party	17	Micro
159	רק	רק	Green Party	17	Sectoral
160	שס	שס	Shas	17	Orthodox
161	אמת	אמת	Labour Party	18	Left
162	אר	אר	Or	18	Micro
163	ב	ב	The Jewish Home	18	Right
164	ג	ג	United Torah Judaism	18	Orthodox
165	ד	ד	Balad	18	Arab-Israeli
166	ה	ה	The Green Movement–Meimad	18	Micro
167	ו	ו	Hadash	18	Arab-Israeli
168	זך	זך	Gil	18	Micro
169	חי	חי	Yisrael Hazaka	18	Micro
170	ט	ט	National Union	18	Right
171	ים	ים	HaYisraelim	18	Micro
172	ינ	ינ	Lev LaOlim	18	Micro
173	יק	יק	Holocaust Survivors and Ale Yarok Alumni	18	Micro
174	כן	כן	Kadima	18	Secular Centre
175	ל	ל	Yisrael Beiteinu	18	Right
176	מחל	מחל	Likud	18	Right
177	מרצ	מרצ	New Movement-Meretz	18	Left
178	נ	נ	Yisrael HaMithadeshet	18	Micro
179	נפ	נפ	Ahrayut	18	Micro
180	נץ	נץ	Lazuz	18	Micro
181	נר	נר	Lehem	18	Micro
182	עם	עם	United Arab List–Ta'al	18	Arab-Israeli
183	פ	פ	Koah LeHashpi'a	18	Micro
184	פי	פי	Brit Olam	18	Micro
185	פק	פק	Man's Rights in the Family Party	18	Micro
186	ץ	ץ	Tzomet	18	Micro
187	צי	צי	Tzabar	18	Micro
188	ק	ק	Da'am Workers Party	18	Micro
189	קנ	קנ	Ale Yarok	18	Micro
