Bloc,Knesset,Votes,Latitude,Longitude
Left,20,4,31.160927,35.019757
Orthodox,20,0,31.160927,35.019757
Arab-Israeli,20,49,31.160927,35.019757
Micro,20,4,31.160927,35.019757
Right,20,2,31.160927,35.019757
Secular Centre,20,2,31.160927,35.019757
Sectoral,20,0,31.160927,35.019757
Left,20,17,31.160927,35.019757
Orthodox,20,3,31.160927,35.019757
Arab-Israeli,20,120,31.160927,35.019757
Micro,20,3,31.160927,35.019757
Right,20,1,31.160927,35.019757
Secular Centre,20,0,31.160927,35.019757
Sectoral,20,0,31.160927,35.019757
Left,20,26,31.160927,35.019757
Orthodox,20,0,31.160927,35.019757
Arab-Israeli,20,73,31.160927,35.019757
Micro,20,2,31.160927,35.019757
Right,20,0,31.160927,35.019757
Secular Centre,20,0,31.160927,35.019757
Sectoral,20,0,31.160927,35.019757
Left,20,46,32.7323987,35.212314
Orthodox,20,6,32.7323987,35.212314
Arab-Israeli,20,359,32.7323987,35.212314
Micro,20,6,32.7323987,35.212314
Right,20,10,32.7323987,35.212314
Secular Centre,20,11,32.7323987,35.212314
Sectoral,20,0,32.7323987,35.212314
Left,20,30,32.7323987,35.212314
Orthodox,20,3,32.7323987,35.212314
Arab-Israeli,20,397,32.7323987,35.212314
Micro,20,10,32.7323987,35.212314
Right,20,6,32.7323987,35.212314
Secular Centre,20,8,32.7323987,35.212314
Sectoral,20,1,32.7323987,35.212314
Left,20,24,32.0654088,34.8029694
Orthodox,20,6,32.0654088,34.8029694
Arab-Israeli,20,384,32.0654088,34.8029694
Micro,20,15,32.0654088,34.8029694
Right,20,30,32.0654088,34.8029694
Secular Centre,20,6,32.0654088,34.8029694
Sectoral,20,0,32.0654088,34.8029694
Left,20,32,32.6595831,35.1051293
Orthodox,20,10,32.6595831,35.1051293
Arab-Israeli,20,363,32.6595831,35.1051293
Micro,20,6,32.6595831,35.1051293
Right,20,5,32.6595831,35.1051293
Secular Centre,20,3,32.6595831,35.1051293
Sectoral,20,0,32.6595831,35.1051293
Left,20,30,32.0654088,34.8029694
Orthodox,20,10,32.0654088,34.8029694
Arab-Israeli,20,302,32.0654088,34.8029694
Micro,20,12,32.0654088,34.8029694
Right,20,15,32.0654088,34.8029694
Secular Centre,20,5,32.0654088,34.8029694
Sectoral,20,1,32.0654088,34.8029694
Left,20,22,32.6595831,35.1051293
Orthodox,20,9,32.6595831,35.1051293
Arab-Israeli,20,309,32.6595831,35.1051293
Micro,20,5,32.6595831,35.1051293
Right,20,7,32.6595831,35.1051293
Secular Centre,20,2,32.6595831,35.1051293
Sectoral,20,0,32.6595831,35.1051293
Left,20,29,32.95803,35.171969
Orthodox,20,11,32.95803,35.171969
Arab-Israeli,20,412,32.95803,35.171969
Micro,20,7,32.95803,35.171969
Right,20,18,32.95803,35.171969
Secular Centre,20,10,32.95803,35.171969
Sectoral,20,1,32.95803,35.171969
Left,20,18,32.95803,35.171969
Orthodox,20,3,32.95803,35.171969
Arab-Israeli,20,427,32.95803,35.171969
Micro,20,8,32.95803,35.171969
Right,20,5,32.95803,35.171969
Secular Centre,20,4,32.95803,35.171969
Sectoral,20,1,32.95803,35.171969
Left,20,27,32.95803,35.171969
Orthodox,20,12,32.95803,35.171969
Arab-Israeli,20,262,32.95803,35.171969
Micro,20,5,32.95803,35.171969
Right,20,136,32.95803,35.171969
Secular Centre,20,19,32.95803,35.171969
Sectoral,20,1,32.95803,35.171969
Left,20,20,32.95803,35.171969
Orthodox,20,6,32.95803,35.171969
Arab-Israeli,20,301,32.95803,35.171969
Micro,20,1,32.95803,35.171969
Right,20,61,32.95803,35.171969
Secular Centre,20,23,32.95803,35.171969
Sectoral,20,0,32.95803,35.171969
Left,20,36,32.95803,35.171969
Orthodox,20,6,32.95803,35.171969
Arab-Israeli,20,398,32.95803,35.171969
Micro,20,4,32.95803,35.171969
Right,20,77,32.95803,35.171969
Secular Centre,20,9,32.95803,35.171969
Sectoral,20,2,32.95803,35.171969
Left,20,30,32.95803,35.171969
Orthodox,20,38,32.95803,35.171969
Arab-Israeli,20,311,32.95803,35.171969
Micro,20,2,32.95803,35.171969
Right,20,106,32.95803,35.171969
Secular Centre,20,11,32.95803,35.171969
Sectoral,20,0,32.95803,35.171969
Left,20,23,32.95803,35.171969
Orthodox,20,37,32.95803,35.171969
Arab-Israeli,20,280,32.95803,35.171969
Micro,20,2,32.95803,35.171969
Right,20,131,32.95803,35.171969
Secular Centre,20,14,32.95803,35.171969
