Bloc	Knesset	Votes	Latitude	Longitude
Left	23	2	32.562589	35.319425
Orthodox	23	107	32.562589	35.319425
Arab-Israeli	23	0	32.562589	35.319425
Micro	23	1	32.562589	35.319425
Right	23	180	32.562589	35.319425
Secular Centre	23	17	32.562589	35.319425
Left	23	3	32.562589	35.319425
Orthodox	23	122	32.562589	35.319425
Arab-Israeli	23	0	32.562589	35.319425
Micro	23	1	32.562589	35.319425
Right	23	213	32.562589	35.319425
Secular Centre	23	26	32.562589	35.319425
Left	23	6	32.4340458	34.9196518
Orthodox	23	53	32.4340458	34.9196518
Arab-Israeli	23	0	32.4340458	34.9196518
Micro	23	1	32.4340458	34.9196518
Right	23	308	32.4340458	34.9196518
Secular Centre	23	24	32.4340458	34.9196518
Left	23	24	32.991149	35.100031
Orthodox	23	9	32.991149	35.100031
Arab-Israeli	23	0	32.991149	35.100031
Micro	23	1	32.991149	35.100031
Right	23	260	32.991149	35.100031
Secular Centre	23	268	32.991149	35.100031
Left	23	16	32.385556	35.036147
Orthodox	23	11	32.385556	35.036147
Arab-Israeli	23	1	32.385556	35.036147
Micro	23	1	32.385556	35.036147
Right	23	142	32.385556	35.036147
Secular Centre	23	166	32.385556	35.036147
Left	23	7	32.718446	35.394952
Orthodox	23	22	32.718446	35.394952
Arab-Israeli	23	0	32.718446	35.394952
Micro	23	3	32.718446	35.394952
Right	23	451	32.718446	35.394952
Secular Centre	23	24	32.718446	35.394952
Left	23	2	33.172527	35.607938
Orthodox	23	6	33.172527	35.607938
Arab-Israeli	23	0	33.172527	35.607938
Micro	23	3	33.172527	35.607938
Right	23	269	33.172527	35.607938
Secular Centre	23	45	33.172527	35.607938
Left	23	2	31.618235	34.723746
Orthodox	23	40	31.618235	34.723746
Arab-Israeli	23	0	31.618235	34.723746
Micro	23	3	31.618235	34.723746
Right	23	171	31.618235	34.723746
Secular Centre	23	25	31.618235	34.723746
Left	23	23	33.052851	35.609244
Orthodox	23	42	33.052851	35.609244
Arab-Israeli	23	1	33.052851	35.609244
Micro	23	1	33.052851	35.609244
Right	23	208	33.052851	35.609244
Secular Centre	23	158	33.052851	35.609244
Left	23	72	32.8244321	35.5879975
Orthodox	23	0	32.8244321	35.5879975
Arab-Israeli	23	29	32.8244321	35.5879975
Micro	23	6	32.8244321	35.5879975
Right	23	90	32.8244321	35.5879975
Secular Centre	23	171	32.8244321	35.5879975
Left	23	2	33.247572	35.548499
Orthodox	23	449	33.247572	35.548499
Arab-Israeli	23	0	33.247572	35.548499
Micro	23	0	33.247572	35.548499
Right	23	14	33.247572	35.548499
Secular Centre	23	0	33.247572	35.548499
Left	23	2	31.889854	34.842094
