Bloc	Knesset	Locality	Party	Station	Votes
Left	13	70	27	10	127
Orthodox	13	70	28	10	7
Orthodox	13	70	29	10	2
Micro	13	70	30	10	0
Micro	13	70	31	10	0
Arab-Israeli	13	70	32	10	0
Micro	13	70	33	10	0
Right	13	70	34	10	9
Micro	13	70	35	10	0
Micro	13	70	36	10	0
Micro	13	70	37	10	1
Micro	13	70	38	10	0
Right	13	70	39	10	48
Left	13	70	40	10	13
Micro	13	70	41	10	0
Micro	13	70	42	10	0
Micro	13	70	43	10	1
Arab-Israeli	13	70	44	10	0
Micro	13	70	45	10	0
Right	13	70	46	10	20
Micro	13	70	47	10	0
Micro	13	70	48	10	0
Micro	13	70	49	10	0
Orthodox	13	70	50	10	15
Right	13	70	51	10	2
Left	13	100	27	10	5
Orthodox	13	100	28	10	70
Orthodox	13	100	29	10	20
Micro	13	100	30	10	0
Micro	13	100	31	10	0
Arab-Israeli	13	100	32	10	0
Micro	13	100	33	10	0
Right	13	100	34	10	11
Micro	13	100	35	10	4
Micro	13	100	36	10	0
Micro	13	100	37	10	0
Micro	13	100	38	10	0
Right	13	100	39	10	69
Left	13	100	40	10	0
Micro	13	100	41	10	0
Micro	13	100	42	10	0
Micro	13	100	43	10	0
Arab-Israeli	13	100	44	10	0
Micro	13	100	45	10	0
Right	13	100	46	10	1
Micro	13	100	47	10	0
Micro	13	100	48	10	7
Micro	13	100	49	10	0
Orthodox	13	100	50	10	37
Right	13	100	51	10	0
Left	13	110	27	10	61
Orthodox	13	110	28	10	1
Orthodox	13	110	29	10	2
Micro	13	110	30	10	0
Micro	13	110	31	10	0
Arab-Israeli	13	110	32	10	0
Micro	13	110	33	10	0
Right	13	110	34	10	3
Micro	13	110	35	10	0
Micro	13	110	36	10	1
Micro	13	110	37	10	1
Micro	13	110	38	10	0
Right	13	110	39	10	26
Left	13	110	40	10	5
Micro	13	110	41	10	0
Micro	13	110	42	10	0
Micro	13	110	43	10	0
Arab-Israeli	13	110	44	10	0
Micro	13	110	45	10	0
Right	13	110	46	10	25
Micro	13	110	47	10	0
Micro	13	110	48	10	0
Micro	13	110	49	10	0
Orthodox	13	110	50	10	6
Right	13	110	51	10	0
Left	13	130	27	10	123
Orthodox	13	130	28	10	0
Orthodox	13	130	29	10	0
Micro	13	130	30	10	0
Micro	13	130	31	10	0
Arab-Israeli	13	130	32	10	0
Micro	13	130	33	10	0
Right	13	130	34	10	5
Micro	13	130	35	10	0
Micro	13	130	36	10	0
Micro	13	130	37	10	0
Micro	13	130	38	10	0
Right	13	130	39	10	22
Left	13	130	40	10	55
Micro	13	130	41	10	0
Micro	13	130	42	10	0
Micro	13	130	43	10	1
Arab-Israeli	13	130	44	10	0
Micro	13	130	45	10	0
Right	13	130	46	10	28
Micro	13	130	47	10	0
Micro	13	130	48	10	0
Micro	13	130	49	10	0
Orthodox	13	130	50	10	0
Right	13	130	51	10	1
Left	13	150	27	10	7
Orthodox	13	150	28	10	68
Orthodox	13	150	29	10	6
Micro	13	150	30	10	0
Micro	13	150	31	10	0
Arab-Israeli	13	150	32	10	0
Micro	13	150	33	10	0
Right	13	150	34	10	25
Micro	13	150	35	10	0
Micro	13	150	36	10	0
Micro	13	150	37	10	0
Micro	13	150	38	10	0
Right	13	150	39	10	68
Left	13	150	40	10	1
Micro	13	150	41	10	0
Micro	13	150	42	10	0
Micro	13	150	43	10	0
Arab-Israeli	13	150	44	10	0
Micro	13	150	45	10	1
Right	13	150	46	10	4
Micro	13	150	47	10	0
Micro	13	150	48	10	1
Micro	13	150	49	10	0
Orthodox	13	150	50	10	64
Right	13	150	51	10	1
Left	13	160	27	10	36
Orthodox	13	160	28	10	1
Orthodox	13	160	29	10	0
Micro	13	160	30	10	0
Micro	13	160	31	10	0
Arab-Israeli	13	160	32	10	0
Micro	13	160	33	10	0
Right	13	160	34	10	0
Micro	13	160	35	10	0
Micro	13	160	36	10	0
Micro	13	160	37	10	0
Micro	13	160	38	10	0
Right	13	160	39	10	0
Left	13	160	40	10	130
Micro	13	160	41	10	0
Micro	13	160	42	10	0
Micro	13	160	43	10	0
Arab-Israeli	13	160	44	10	0
Micro	13	160	45	10	1
Right	13	160	46	10	0
Micro	13	160	47	10	0
Micro	13	160	48	10	0
Micro	13	160	49	10	0
Orthodox	13	160	50	10	0
Right	13	160	51	10	0
Left	13	180	27	10	101
Orthodox	13	180	28	10	1
Orthodox	13	180	29	10	1
Micro	13	180	30	10	0
Micro	13	180	31	10	1
Arab-Israeli	13	180	32	10	0
Micro	13	180	33	10	0
Right	13	180	34	10	11
Micro	13	180	35	10	0
Micro	13	180	36	10	0
Micro	13	180	37	10	0
Micro	13	180	38	10	0
Right	13	180	39	10	28
Left	13	180	40	10	16
Micro	13	180	41	10	0
Micro	13	180	42	10	0
Micro	13	180	43	10	0
Arab-Israeli	13	180	44	10	0
Micro	13	180	45	10	0
Right	13	180	46	10	12
Micro	13	180	47	10	0
Micro	13	180	48	10	1
Micro	13	180	49	10	0
Orthodox	13	180	50	10	0
Right	13	180	51	10	1
Left	13	220	27	10	78
Orthodox	13	220	28	10	28
Orthodox	13	220	29	10	1
Micro	13	220	30	10	0
Micro	13	220	31	10	0
Arab-Israeli	13	220	32	10	0
Micro	13	220	33	10	0
Right	13	220	34	10	0
Micro	13	220	35	10	0
Micro	13	220	36	10	0
Micro	13	220	37	10	0
Micro	13	220	38	10	0
Right	13	220	39	10	28
Left	13	220	40	10	15
Micro	13	220	41	10	0
Micro	13	220	42	10	0
Micro	13	220	43	10	0
Arab-Israeli	13	220	44	10	0
Micro	13	220	45	10	0
Right	13	220	46	10	9
Micro	13	220	47	10	0
Micro	13	220	48	10	0
Micro	13	220	49	10	0
Orthodox	13	220	50	10	0
Right	13	220	51	10	0
Left	13	230	27	10	29
Orthodox	13	230	28	10	0
Orthodox	13	230	29	10	0
Micro	13	230	30	10	0
Micro	13	230	31	10	0
Arab-Israeli	13	230	32	10	0
Micro	13	230	33	10	0
Right	13	230	34	10	20
Micro	13	230	35	10	0
Micro	13	230	36	10	0
Micro	13	230	37	10	0
Micro	13	230	38	10	0
Right	13	230	39	10	35
Left	13	230	40	10	9
Micro	13	230	41	10	0
Micro	13	230	42	10	0
Micro	13	230	43	10	1
Arab-Israeli	13	230	44	10	0
Micro	13	230	45	10	0
Right	13	230	46	10	28
Micro	13	230	47	10	0
Micro	13	230	48	10	0
Micro	13	230	49	10	0
Orthodox	13	230	50	10	1
Right	13	230	51	10	5
Left	13	240	27	10	158
Orthodox	13	240	28	10	0
Orthodox	13	240	29	10	0
Micro	13	240	30	10	0
Micro	13	240	31	10	2
Arab-Israeli	13	240	32	10	0
Micro	13	240	33	10	0
Right	13	240	34	10	0
Micro	13	240	35	10	0
Micro	13	240	36	10	0
Micro	13	240	37	10	0
Micro	13	240	38	10	0
Right	13	240	39	10	11
Left	13	240	40	10	56
Micro	13	240	41	10	0
Micro	13	240	42	10	0
Micro	13	240	43	10	0
Arab-Israeli	13	240	44	10	0
Micro	13	240	45	10	0
Right	13	240	46	10	15
Micro	13	240	47	10	0
Micro	13	240	48	10	0
Micro	13	240	49	10	0
Orthodox	13	240	50	10	1
Right	13	240	51	10	0
Left	13	260	27	10	164
Orthodox	13	260	28	10	14
Orthodox	13	260	29	10	3
Micro	13	260	30	10	0
Micro	13	260	31	10	0
Arab-Israeli	13	260	32	10	2
Micro	13	260	33	10	0
Right	13	260	34	10	4
Micro	13	260	35	10	0
Micro	13	260	36	10	0
Micro	13	260	37	10	1
Micro	13	260	38	10	0
Right	13	260	39	10	65
Left	13	260	40	10	128
Micro	13	260	41	10	0
Micro	13	260	42	10	1
Micro	13	260	43	10	0
Arab-Israeli	13	260	44	10	1
Micro	13	260	45	10	0
Right	13	260	46	10	36
Micro	13	260	47	10	0
Micro	13	260	48	10	2
Micro	13	260	49	10	0
Orthodox	13	260	50	10	14
Right	13	260	51	10	0
Left	13	260	27	20	196
Orthodox	13	260	28	20	12
Orthodox	13	260	29	20	0
Micro	13	260	30	20	0
Micro	13	260	31	20	1
Arab-Israeli	13	260	32	20	1
Micro	13	260	33	20	0
Right	13	260	34	20	6
Micro	13	260	35	20	0
Micro	13	260	36	20	0
Micro	13	260	37	20	0
Micro	13	260	38	20	0
Right	13	260	39	20	121
Left	13	260	40	20	63
Micro	13	260	41	20	0
Micro	13	260	42	20	0
Micro	13	260	43	20	0
Arab-Israeli	13	260	44	20	0
Micro	13	260	45	20	0
Right	13	260	46	20	72
Micro	13	260	47	20	3
Micro	13	260	48	20	5
Micro	13	260	49	20	2
Orthodox	13	260	50	20	8
Right	13	260	51	20	0
Left	13	270	27	10	30
Orthodox	13	270	28	10	4
Orthodox	13	270	29	10	4
Micro	13	270	30	10	0
Micro	13	270	31	10	0
Arab-Israeli	13	270	32	10	0
Micro	13	270	33	10	0
Right	13	270	34	10	1
Micro	13	270	35	10	0
Micro	13	270	36	10	1
Micro	13	270	37	10	0
Micro	13	270	38	10	0
Right	13	270	39	10	32
Left	13	270	40	10	0
Micro	13	270	41	10	0
Micro	13	270	42	10	0
Micro	13	270	43	10	1
Arab-Israeli	13	270	44	10	0
Micro	13	270	45	10	0
Right	13	270	46	10	3
Micro	13	270	47	10	0
Micro	13	270	48	10	0
Micro	13	270	49	10	2
Orthodox	13	270	50	10	54
Right	13	270	51	10	1
Left	13	280	27	10	205
Orthodox	13	280	28	10	12
Orthodox	13	280	29	10	5
Micro	13	280	30	10	0
Micro	13	280	31	10	0
Arab-Israeli	13	280	32	10	1
Micro	13	280	33	10	0
Right	13	280	34	10	9
Micro	13	280	35	10	2
Micro	13	280	36	10	0
Micro	13	280	37	10	0
Micro	13	280	38	10	0
Right	13	280	39	10	172
Left	13	280	40	10	41
Micro	13	280	41	10	2
Micro	13	280	42	10	1
Micro	13	280	43	10	0
Arab-Israeli	13	280	44	10	0
Micro	13	280	45	10	0
Right	13	280	46	10	29
Micro	13	280	47	10	0
Micro	13	280	48	10	1
Micro	13	280	49	10	6
Orthodox	13	280	50	10	46
Right	13	280	51	10	6
Left	13	280	27	20	291
Orthodox	13	280	28	20	32
Orthodox	13	280	29	20	5
Micro	13	280	30	20	0
Micro	13	280	31	20	1
Arab-Israeli	13	280	32	20	0
Micro	13	280	33	20	0
Right	13	280	34	20	7
Micro	13	280	35	20	0
Micro	13	280	36	20	0
Micro	13	280	37	20	0
Micro	13	280	38	20	0
Right	13	280	39	20	112
Left	13	280	40	20	124
Micro	13	280	41	20	0
Micro	13	280	42	20	2
Micro	13	280	43	20	0
Arab-Israeli	13	280	44	20	0
Micro	13	280	45	20	0
Right	13	280	46	20	52
Micro	13	280	47	20	1
Micro	13	280	48	20	0
Micro	13	280	49	20	9
Orthodox	13	280	50	20	11
Right	13	280	51	20	5
Left	13	280	27	30	172
Orthodox	13	280	28	30	22
Orthodox	13	280	29	30	0
Micro	13	280	30	30	0
Micro	13	280	31	30	0
Arab-Israeli	13	280	32	30	0
Micro	13	280	33	30	0
Right	13	280	34	30	15
Micro	13	280	35	30	1
Micro	13	280	36	30	0
Micro	13	280	37	30	1
Micro	13	280	38	30	0
Right	13	280	39	30	144
Left	13	280	40	30	43
Micro	13	280	41	30	0
Micro	13	280	42	30	1
Micro	13	280	43	30	1
Arab-Israeli	13	280	44	30	0
Micro	13	280	45	30	0
Right	13	280	46	30	36
Micro	13	280	47	30	0
Micro	13	280	48	30	4
Micro	13	280	49	30	12
Orthodox	13	280	50	30	21
Right	13	280	51	30	2
Left	13	290	27	10	148
Orthodox	13	290	28	10	11
Orthodox	13	290	29	10	1
Micro	13	290	30	10	0
Micro	13	290	31	10	1
Arab-Israeli	13	290	32	10	2
Micro	13	290	33	10	0
Right	13	290	34	10	12
Micro	13	290	35	10	0
Micro	13	290	36	10	0
Micro	13	290	37	10	1
Micro	13	290	38	10	0
Right	13	290	39	10	168
Left	13	290	40	10	47
Micro	13	290	41	10	0
Micro	13	290	42	10	0
Micro	13	290	43	10	2
Arab-Israeli	13	290	44	10	0
Micro	13	290	45	10	0
Right	13	290	46	10	60
Micro	13	290	47	10	2
Micro	13	290	48	10	7
Micro	13	290	49	10	4
Orthodox	13	290	50	10	5
Right	13	290	51	10	10
Left	13	310	27	10	115
Orthodox	13	310	28	10	52
Orthodox	13	310	29	10	22
Micro	13	310	30	10	0
Micro	13	310	31	10	0
Arab-Israeli	13	310	32	10	0
Micro	13	310	33	10	0
Right	13	310	34	10	8
Micro	13	310	35	10	1
Micro	13	310	36	10	0
Micro	13	310	37	10	0
Micro	13	310	38	10	0
Right	13	310	39	10	139
Left	13	310	40	10	24
Micro	13	310	41	10	2
Micro	13	310	42	10	1
Micro	13	310	43	10	0
Arab-Israeli	13	310	44	10	1
Micro	13	310	45	10	0
Right	13	310	46	10	16
Micro	13	310	47	10	1
Micro	13	310	48	10	0
Micro	13	310	49	10	1
Orthodox	13	310	50	10	55
Right	13	310	51	10	1
Left	13	310	27	20	83
Orthodox	13	310	28	20	26
Orthodox	13	310	29	20	41
Micro	13	310	30	20	2
Micro	13	310	31	20	0
Arab-Israeli	13	310	32	20	0
Micro	13	310	33	20	0
Right	13	310	34	20	20
Micro	13	310	35	20	0
Micro	13	310	36	20	1
Micro	13	310	37	20	0
Micro	13	310	38	20	0
Right	13	310	39	20	121
Left	13	310	40	20	14
Micro	13	310	41	20	0
Micro	13	310	42	20	0
Micro	13	310	43	20	0
Arab-Israeli	13	310	44	20	0
Micro	13	310	45	20	1
Right	13	310	46	20	26
Micro	13	310	47	20	1
Micro	13	310	48	20	1
Micro	13	310	49	20	1
Orthodox	13	310	50	20	80
Right	13	310	51	20	3
Left	13	310	27	30	142
Orthodox	13	310	28	30	84
Orthodox	13	310	29	30	32
Micro	13	310	30	30	0
Micro	13	310	31	30	1
Arab-Israeli	13	310	32	30	1
Micro	13	310	33	30	0
Right	13	310	34	30	17
Micro	13	310	35	30	0
Micro	13	310	36	30	1
Micro	13	310	37	30	0
