Bloc	Knesset	Locality	Station	Votes
Left	24	1220	1	78
Right	24	1220	1	15
Orthodox	24	1220	1	3
Arab-Israeli	24	1220	1	3
Micro	24	1220	1	8
Secular Centre	24	1220	1	43
Left	24	113	1	1
Right	24	113	1	97
Orthodox	24	113	1	74
Arab-Israeli	24	113	1	0
Micro	24	113	1	3
Secular Centre	24	113	1	5
Left	24	278	1	92
Right	24	278	1	54
Orthodox	24	278	1	0
Arab-Israeli	24	278	1	3
Micro	24	278	1	4
Secular Centre	24	278	1	123
Left	24	1157	1	24
Right	24	1157	1	42
Orthodox	24	1157	1	6
Arab-Israeli	24	1157	1	0
Micro	24	1157	1	0
Secular Centre	24	1157	1	73
Left	24	338	1	0
Right	24	338	1	21
Orthodox	24	338	1	11
Arab-Israeli	24	338	1	0
Micro	24	338	1	3
Secular Centre	24	338	1	5
Left	24	1316	1	0
Right	24	1316	1	4
Orthodox	24	1316	1	0
Arab-Israeli	24	1316	1	80
Micro	24	1316	1	0
Secular Centre	24	1316	1	0
Left	24	330	1	76
Right	24	330	1	48
Orthodox	24	330	1	4
Arab-Israeli	24	330	1	0
Micro	24	330	1	2
Secular Centre	24	330	1	75
Left	24	868	1	5
Right	24	868	1	8
Orthodox	24	868	1	0
Arab-Israeli	24	868	1	0
Micro	24	868	1	1
Secular Centre	24	868	1	9
Left	24	4002	1	57
Right	24	4002	1	68
Orthodox	24	4002	1	8
Arab-Israeli	24	4002	1	0
Micro	24	4002	1	5
Secular Centre	24	4002	1	81
Left	24	1125	1	98
Right	24	1125	1	29
Orthodox	24	1125	1	1
Arab-Israeli	24	1125	1	1
Micro	24	1125	1	6
Secular Centre	24	1125	1	96
Left	24	1253	1	23
Right	24	1253	1	126
Orthodox	24	1253	1	11
Arab-Israeli	24	1253	1	0
Micro	24	1253	1	6
Secular Centre	24	1253	1	53
Left	24	23	1	9
Right	24	23	1	50
Orthodox	24	23	1	25
Arab-Israeli	24	23	1	0
Micro	24	23	1	2
Secular Centre	24	23	1	17
Left	24	4301	1	47
Right	24	4301	1	41
Orthodox	24	4301	1	2
Arab-Israeli	24	4301	1	0
Micro	24	4301	1	9
Secular Centre	24	4301	1	75
Left	24	70	1	27
Right	24	70	1	555
Orthodox	24	70	1	84
Arab-Israeli	24	70	1	0
Micro	24	70	1	10
Secular Centre	24	70	1	134
Left	24	70	2	84
Right	24	70	2	856
Orthodox	24	70	2	187
Arab-Israeli	24	70	2	0
Micro	24	70	2	30
Secular Centre	24	70	2	268
Left	24	70	4	6
Right	24	70	4	165
Orthodox	24	70	4	40
Arab-Israeli	24	70	4	0
Micro	24	70	4	5
Secular Centre	24	70	4	27
Left	24	70	8	1
Right	24	70	8	105
Orthodox	24	70	8	20
Arab-Israeli	24	70	8	1
Micro	24	70	8	3
Secular Centre	24	70	8	18
Left	24	70	9	5
Right	24	70	9	191
Orthodox	24	70	9	31
Arab-Israeli	24	70	9	0
Micro	24	70	9	8
Secular Centre	24	70	9	32
Left	24	70	10	2
Right	24	70	10	150
Orthodox	24	70	10	33
Arab-Israeli	24	70	10	0
Micro	24	70	10	3
Secular Centre	24	70	10	28
Left	24	70	11	8
Right	24	70	11	185
Orthodox	24	70	11	28
Arab-Israeli	24	70	11	0
Micro	24	70	11	8
Secular Centre	24	70	11	26
Left	24	70	13	20
Right	24	70	13	341
Orthodox	24	70	13	98
Arab-Israeli	24	70	13	0
Micro	24	70	13	8
Secular Centre	24	70	13	43
Left	24	70	14	6
Right	24	70	14	151
Orthodox	24	70	14	32
Arab-Israeli	24	70	14	0
Micro	24	70	14	4
Secular Centre	24	70	14	26
Left	24	70	15	7
Right	24	70	15	158
Orthodox	24	70	15	58
Arab-Israeli	24	70	15	0
Micro	24	70	15	3
Secular Centre	24	70	15	22
Left	24	70	17	9
Right	24	70	17	202
Orthodox	24	70	17	32
Arab-Israeli	24	70	17	0
Micro	24	70	17	1
Secular Centre	24	70	17	31
Left	24	70	19	1
Right	24	70	19	125
Orthodox	24	70	19	37
Arab-Israeli	24	70	19	0
Micro	24	70	19	2
Secular Centre	24	70	19	26
Left	24	70	20	11
Right	24	70	20	247
Orthodox	24	70	20	60
Arab-Israeli	24	70	20	2
Micro	24	70	20	3
Secular Centre	24	70	20	34
Left	24	70	21	7
Right	24	70	21	234
Orthodox	24	70	21	50
Arab-Israeli	24	70	21	0
Micro	24	70	21	3
Secular Centre	24	70	21	36
Left	24	70	22	2
Right	24	70	22	136
Orthodox	24	70	22	64
Arab-Israeli	24	70	22	0
Micro	24	70	22	3
Secular Centre	24	70	22	14
Left	24	70	24	14
Right	24	70	24	506
Orthodox	24	70	24	944
Arab-Israeli	24	70	24	0
Micro	24	70	24	15
Secular Centre	24	70	24	95
Left	24	70	25	30
Right	24	70	25	640
Orthodox	24	70	25	660
Arab-Israeli	24	70	25	0
Micro	24	70	25	32
Secular Centre	24	70	25	117
Left	24	70	26	4
Right	24	70	26	162
Orthodox	24	70	26	116
Arab-Israeli	24	70	26	0
