Address	Latitude	Longitude
דקר 2, קרית מוצקין	32.8390876	35.0822488
הרב מימון 4, פתח תקווה	32.0784483	34.8913559
רופין 6, קרית אתא	32.812877	35.1088762
קדיש לוז 56, קרית מוצקין	32.8451198	35.08967
אבן גבירול 6, אשקלון	31.5235478	34.6026215
יוסי בן יועזר 24, ירושלים	31.7549663	35.2066253
ביר אל-מכסור ביר אל-מכס, חוג'ייראת (ד'הרה	32.836596	35.271481
הזית 1, קרית אונו	32.052767	34.861961
גינתון, גינתון	31.962801	34.913062
בעל שם טוב 31, חיפה	32.8021915	34.9966234
השקמה 9, יזרעאל	32.558228	35.305107
שדרת הערים התאומות 20, באר שבע	31.2806227	34.7998169
בן יהודה 71, מרכז-צפון	32.183365	34.9233272
בר אילן 2, מרכז-צפון	32.1815376	34.873539
שטיין יהודה 11, רמלה-לוד	31.9263434	34.8611072
טורעאן, טורעאן	32.775137	35.378344
בגין מנחם 26, קרית מוצקין	32.8546718	35.0913722
משעול התמר, אשקלון	31.7337759	34.6339523
שכ 3, רהט	31.401046	34.765254
חצרות בארותיים, חצר בארותיים	32.321039	34.98343
המלאכה, דימונה	31.0635027	35.022597
צביה 1, דן-צפון	32.889006	35.330599
אום אל פחם 3, אם אל-פחם	32.517127	35.148529
כפר הדרום 29, באר שבע	31.2376189	34.7855445
ט' באייר 1, עופרה	31.9556691	35.2604543
משמר איילון, מרכז-דרום	31.872478	34.943253
העצמאות 52, באר שבע	31.2404445	34.7898203
אחד העם 10, דן-דרום	32.06564	34.77591
אברהם שפירא רובע ו', אשדוד	31.792117	34.658808
הנגב 61, אריאל	32.1040857	35.1911362
עמינדב, עמינדב	31.75170499999999	35.142428
ניר עם, אשקלון	31.518459	34.580544
ליאון, לי-און	31.678567	34.93509
רובין אריה, לוד	31.9483029	34.8974059
שטיינמן 31, תל אביב - יפו	32.0986782	34.8006055
דרך בן גוריון דוד 216, דן-צפון	33.0693635	35.1469372
הרצל פנת שדה, קרית שמונה	33.1991631	35.5666918
עמיר, צפת	33.17772610000001	35.6198305
בגין מנחם 42, מרכז-דרום	32.0045196	34.7732561
סער, סער	33.028689	35.109232
אשכול לוי 59, כפר סבא	32.178195	34.90761
עספיא, קריות	32.720737	35.059087
הגורן 13, רחובות	31.8933423	34.805694
נחום 1, פתח תקווה	32.0710341	34.9011013
הרב עוזיאל 13, מרכז-דרום	30.829562	35.0388164
מחנה פליטים קלנדיה, ירושלים	31.86489019999999	35.2290594
גילון, גילון	32.904338	35.232191
הרכס 27, יהודה	31.78119	35.3105098
פייר מנדס פרנס 17, תל אביב - יפו	32.0418593	34.7491037
רבי יהודה הנשיא 55, אלעד	32.0532023	34.9554675
שפיר, אשקלון	31.6536966	34.5546845
צייטלין 42, תל אביב - יפו	32.0788379	34.7864444
הארז 6, אשדוד	31.8064498	34.6423104
"שד צה""ל, מרכז-דרום"	31.2860506	34.8093565
עמק האלה 40, מרכז-דרום	31.9129588	35.0093416
א שוהדא, מרכז-צפון	32.115681	34.972918
הרצל 66, איילון	33.005207	35.0957345
נתן אלבז רובע ו', אשדוד	31.794918	34.653418
אנטיגונוס 6, תל אביב - יפו	32.092499	34.7847381
ברגר דוד 480, אשקלון	31.6518952	34.556901
מבצע נחשון 23, באר שבע	31.2603445	34.7837519
הרב חדד שאול 1, בני ברק	32.0937976	34.8426427
לבזובסקי 6, חדרה	32.4395256	34.9130572
שד' יד לבנים 18, תל-אביב	32.0605303	34.7968409
רח 310 18, יזרעאל	32.6889232	35.2766466
נורדאו 20, רחובות	31.894324	34.8153715
המעפילים 2, אור יהודה	32.0267272	34.8511571
וייז סטפן 13, ראשון לציון	31.9708595	34.8086195
"ע""י מועצה מקומית, עספיא"	32.720737	35.059087
רח המעפילים, בית שמש	31.7504941	34.9857827
ארלוזורוב 14, רחובות	31.8859944	34.8062889
יקנעם (מושבה), יזרעאל	32.655859	35.115152
נצרת, יזרעאל	32.699635	35.303546
העליה 49, תל אביב - יפו	32.0558894	34.7728669
התשעים ושלוש 8, חיפה	32.8168396	34.9978524
ארן זלמן, אשדוד	31.8017285	34.6453437
הרב קוק 4 רובע ב', אשדוד	31.8086269	34.6529243
עין אלתינה 55, יזרעאל	32.562589	35.319425
אבן שמואל, אבן שמואל	31.576402	34.763616
ההדרים צורן 143, קדימה-צורן	32.3149245	34.939092
הרב מימון, עכו	33.07281	35.141605
שדות ים, שדות ים	32.492613	34.89315
בית זרע, בית זרע	32.689296	35.574062
הפודים 41, דן	32.0932857	34.8208858
טשרניחובסקי, רחובות	31.8867397	34.8078487
הרצל, גן יבנה	31.785184	34.707095
עמוס 26, קריות	32.841667	35.071389
הרב אונטרמן 14, פתח תקווה	32.1001572	34.8979759
בגין מנחם 40, בית דגן	32.0025229	34.8315919
ש נווה שלום, לוד	31.953033	34.875642
בושם 2, תל אביב - יפו	32.044785	34.8097454
מירון, רחובות	31.891021	34.829196
זנוח, זנוח	31.733813	34.999369
ברל כצנלסון 84 נוש, חיפה	32.7838698	35.0133773
צנדלה, יזרעאל	32.522449	35.32442
הרצל 66, דן-דרום	33.005207	35.0957345
מזרחי דוד 6, מרכז-דרום	31.884417	34.8111191
הים התיכון 2, חיפה	32.8355055	35.06904189999999
תל יצחק, השרון (נתניה)	32.252745	34.872378
נחל עוז, נחל עוז	31.47267999999999	34.497675
המייסדים, מרכז-צפון	32.140664	34.883054
אחד העם, חדרה	32.4347673	34.9192832
"מזא""ה 11, תל-אביב"	32.0672823	34.7731453
אעצם (שבט )אעצם (שבט), אבו תלול	31.142612	34.913514
וולפסון 30, יזרעאל	32.6016652	35.2883112
התמר 1, רמלה-לוד	31.9223298	34.8513421
משעול הרקפות, כרמיאל	32.9185727	35.3045053
רשי 9, כפר סבא	32.1811082	34.9084837
שדה עוזיה, שדה עוזיהו	31.7626704	34.6745046
שער ציון 9, דן-דרום	32.0093792	34.7886215
חרמון 29, נהריה	32.99847	35.1000135
החותרים, החותרים	32.752311	34.957545
החרמון רובע יא', אשדוד	31.78433099999999	34.631679
שני 80, מרכז-דרום	31.355797	35.070097
קרן היסוד 12, אשקלון	31.658255	34.5690421
תל חי 70, כפר סבא	32.1786455	34.915724
חצרים 2, דן-דרום	31.240603	34.717427
קשת, צפת	32.9646808	35.496159
לבנון חיים 30, תל אביב - יפו	32.1078239	34.8018067
קרן 73, כפר סבא	32.1741727	34.9125761
הדר 17, דן	32.0289394	34.7652404
ראמה, כרמיאל	32.937112	35.366984
מענית, מענית	32.457992	35.026573
