Locality Number	Station Number	Locality Name	Address Name
30000	3921	ירושלים	הורקניה 21
30000	3922	ירושלים	הורקניה 21
30000	3923	ירושלים	הורקניה 21
30000	4230	ירושלים	תמיר שמואל 74
30000	5300	ירושלים	לוחמי הגטאות 7
30000	5600	ירושלים	לוחמי הגטאות 7
30000	5610	ירושלים	ההגנה 13
30000	5620	ירושלים	ההגנה 13
30000	7150	ירושלים	לוחמי הגטאות 7
30000	7200	ירושלים	שד דיין משה 135
30000	7210	ירושלים	השישה עשר 19
30000	7220	ירושלים	השישה עשר 19
30000	7230	ירושלים	השישה עשר 34
30000	7240	ירושלים	השישה עשר 34
30000	7250	ירושלים	השישה עשר 34
30000	7270	ירושלים	השישה עשר 34
30000	7300	ירושלים	תמיר שמואל 74
30000	7320	ירושלים	תמיר שמואל 74
30000	7330	ירושלים	רחמילביץ משה 1
30000	7340	ירושלים	גרשון מאיר 21
30000	7350	ירושלים	טוניק יצחק 21
30000	7360	ירושלים	גרשון מאיר 21
30000	7370	ירושלים	רחמילביץ משה 1
30000	7380	ירושלים	גרשון מאיר 26
30000	7390	ירושלים	טוניק יצחק 21
30000	7400	ירושלים	גרשון מאיר 21
30000	7420	ירושלים	מחנה פליטים קלנדיה
30000	7430	ירושלים	גרשון מאיר 26
30000	7440	ירושלים	טוניק יצחק 21
30000	7470	ירושלים	נדבה יוסף 47
30000	7480	ירושלים	גרשון מאיר 26
30000	7490	ירושלים	נדבה יוסף 47
30000	7500	ירושלים	גרשון מאיר 26
30000	7510	ירושלים	נדבה יוסף 47
30000	7521	ירושלים	טוניק יצחק 21
30000	7522	ירושלים	טוניק יצחק 21
30000	7523	ירושלים	טוניק יצחק 21
30000	7524	ירושלים	טוניק יצחק 21
30000	7550	ירושלים	רחמילביץ משה 1
30000	7560	ירושלים	תמיר שמואל 74
30000	7570	ירושלים	השישה עשר 19
30000	7590	ירושלים	השישה עשר 34
30000	7640	ירושלים	רחמילביץ משה 1
30000	7900	ירושלים	נדבה יוסף 47
30000	7970	ירושלים	טוניק יצחק 21
30000	7980	ירושלים	נדבה יוסף 47
30000	9690	ירושלים	שד דיין משה 135
30000	9940	ירושלים	מחנה פליטים קלנדיה
30000	4450	ירושלים	הרב זווין 4
30000	5500	ירושלים	ככר ארן זלמן 11
30000	5510	ירושלים	ככר ארן זלמן 11
30000	5530	ירושלים	ככר ארן זלמן 7
30000	5541	ירושלים	"מעגלי הרי""ם לוין 27"
30000	5542	ירושלים	"מעגלי הרי""ם לוין 27"
30000	5543	ירושלים	"מעגלי הרי""ם לוין 27"
30000	5544	ירושלים	"מעגלי הרי""ם לוין 27"
30000	5545	ירושלים	"מעגלי הרי""ם לוין 27"
30000	5560	ירושלים	ככר ארן זלמן 7
30000	5630	ירושלים	ככר ארן זלמן 11
30000	5680	ירושלים	ככר ארן זלמן 7
30000	5721	ירושלים	מעגלות הרב פרדס 39
30000	5722	ירושלים	מעגלות הרב פרדס 39
30000	5723	ירושלים	מעגלות הרב פרדס 39
30000	5724	ירושלים	מעגלות הרב פרדס 39
30000	5725	ירושלים	מעגלות הרב פרדס 39
30000	5726	ירושלים	מעגלות הרב פרדס 39
30000	5727	ירושלים	מעגלות הרב פרדס 39
30000	5740	ירושלים	שד נוה יעקב 38
30000	5750	ירושלים	שד נוה יעקב 38 א
30000	5760	ירושלים	בלבן מאיר 6
30000	6940	ירושלים	הרב זווין 4
30000	6970	ירושלים	הרב זווין 4
30000	6980	ירושלים	שד נוה יעקב 38 ב
30000	7000	ירושלים	בלבן מאיר 6
30000	7010	ירושלים	שד נוה יעקב 38
30000	7030	ירושלים	הרב זווין 4
30000	7130	ירושלים	בלבן מאיר 6
30000	7140	ירושלים	שד נוה יעקב 38
30000	7290	ירושלים	מזל טלה 11
30000	7310	ירושלים	מזל טלה 11
30000	7450	ירושלים	מזל דלי 21
30000	7460	ירושלים	מזל דלי 21
30000	7580	ירושלים	מזל טלה 11
30000	7600	ירושלים	שד נוה יעקב 38 א
30000	7610	ירושלים	בלבן מאיר 6
30000	7620	ירושלים	הרב זווין 4
30000	7630	ירושלים	מזל טלה 11
30000	7650	ירושלים	מזל דלי 21
30000	7660	ירושלים	מזל דלי 21
30000	7920	ירושלים	הרב זווין 4
30000	50	ירושלים	שבטי ישראל 27
30000	70	ירושלים	נטר 40
